country,country_name,year,revenue,operating_cost,operating_profit,tax,net_cash_flow
SGP,Singapore,1,20822681230.7,14575876861.49,6246804369.21,1374296961.23,4872507407.98
SGP,Singapore,2,23029282106.84,16120497474.79,6908784632.05,1519932619.05,5388852013.0
SGP,Singapore,3,25469718739.88,17828803117.92,7640915621.96,1681001436.83,5959914185.13
SGP,Singapore,4,28168770944.72,19718139661.3,8450631283.42,1859138882.35,6591492401.06
SGP,Singapore,5,31153844478.59,21807691135.01,9346153343.58,2056153735.59,7289999607.99
THA,Thailand,1,19648078757.37,13753655130.16,5894423627.21,1296773197.99,4597650429.22
THA,Thailand,2,21452486263.93,15016740384.75,6435745879.18,1415864093.42,5019881785.76
THA,Thailand,3,23422603939.4,16395822757.58,7026781181.82,1545891860.0,5480889321.82
THA,Thailand,4,25573649998.07,17901554998.65,7672094999.42,1687860899.87,5984234099.55
THA,Thailand,5,27922240239.2,19545568167.44,8376672071.76,1842867855.79,6533804215.97
VNM,Vietnam,1,19543100883.92,13680170618.74,5862930265.18,1289844658.34,4573085606.84
VNM,Vietnam,2,21714891885.25,15200424319.67,6514467565.58,1433182864.43,5081284701.15
VNM,Vietnam,3,24128030264.43,16889621185.1,7238409079.33,1592449997.45,5645959081.88
VNM,Vietnam,4,26809336538.15,18766535576.7,8042800961.45,1769416211.52,6273384749.93
VNM,Vietnam,5,29788611740.74,20852028218.52,8936583522.22,1966048374.89,6970535147.33
MYS,Malaysia,1,19357119387.75,13549983571.42,5807135816.33,1277569879.59,4529565936.73
MYS,Malaysia,2,21412088228.17,14988461759.72,6423626468.45,1413197823.06,5010428645.39
MYS,Malaysia,3,23685214370.35,16579650059.24,7105564311.11,1563224148.44,5542340162.66
MYS,Malaysia,4,26199657585.53,18339760309.87,7859897275.66,1729177400.64,6130719875.01
MYS,Malaysia,5,28981036306.69,20286725414.68,8694310892.01,1912748396.24,6781562495.77
IDN,Indonesia,1,19074476928.51,13352133849.96,5722343078.55,1258915477.28,4463427601.27
IDN,Indonesia,2,21062029372.15,14743420560.51,6318608811.65,1390093938.56,4928514873.08
IDN,Indonesia,3,23256683941.37,16279678758.96,6977005182.41,1534941140.13,5442064042.28
IDN,Indonesia,4,25680020590.22,17976014413.15,7704006177.07,1694881358.95,6009124818.11
IDN,Indonesia,5,28355867894.87,19849107526.41,8506760368.46,1871487281.06,6635273087.4
