country,country_name,year,topsis_score,population_score,income_score,revenue_score,market_multiplier,growth_rate,projected_revenue
SGP,Singapore,1,0.6714,0.0,1.0,0.6028,1.0411,0.106,20822681230.7
SGP,Singapore,2,0.6714,0.0,1.0,0.6028,1.0411,0.106,23029282106.84
SGP,Singapore,3,0.6714,0.0,1.0,0.6028,1.0411,0.106,25469718739.88
SGP,Singapore,4,0.6714,0.0,1.0,0.6028,1.0411,0.106,28168770944.72
SGP,Singapore,5,0.6714,0.0,1.0,0.6028,1.0411,0.106,31153844478.59
THA,Thailand,1,0.4945,0.6401,0.1565,0.456,0.9824,0.0918,19648078757.37
THA,Thailand,2,0.4945,0.6401,0.1565,0.456,0.9824,0.0918,21452486263.93
THA,Thailand,3,0.4945,0.6401,0.1565,0.456,0.9824,0.0918,23422603939.4
THA,Thailand,4,0.4945,0.6401,0.1565,0.456,0.9824,0.0918,25573649998.07
THA,Thailand,5,0.4945,0.6401,0.1565,0.456,0.9824,0.0918,27922240239.2
VNM,Vietnam,1,0.4943,0.7311,0.0004,0.4429,0.9772,0.1111,19543100883.92
VNM,Vietnam,2,0.4943,0.7311,0.0004,0.4429,0.9772,0.1111,21714891885.25
VNM,Vietnam,3,0.4943,0.7311,0.0004,0.4429,0.9772,0.1111,24128030264.43
VNM,Vietnam,4,0.4943,0.7311,0.0004,0.4429,0.9772,0.1111,26809336538.15
VNM,Vietnam,5,0.4943,0.7311,0.0004,0.4429,0.9772,0.1111,29788611740.74
MYS,Malaysia,1,0.4388,0.4611,0.3207,0.4196,0.9679,0.1062,19357119387.75
MYS,Malaysia,2,0.4388,0.4611,0.3207,0.4196,0.9679,0.1062,21412088228.17
MYS,Malaysia,3,0.4388,0.4611,0.3207,0.4196,0.9679,0.1062,23685214370.35
MYS,Malaysia,4,0.4388,0.4611,0.3207,0.4196,0.9679,0.1062,26199657585.53
MYS,Malaysia,5,0.4388,0.4611,0.3207,0.4196,0.9679,0.1062,28981036306.69
IDN,Indonesia,1,0.3072,1.0,0.0,0.3843,0.9537,0.1042,19074476928.51
IDN,Indonesia,2,0.3072,1.0,0.0,0.3843,0.9537,0.1042,21062029372.15
IDN,Indonesia,3,0.3072,1.0,0.0,0.3843,0.9537,0.1042,23256683941.37
IDN,Indonesia,4,0.3072,1.0,0.0,0.3843,0.9537,0.1042,25680020590.22
IDN,Indonesia,5,0.3072,1.0,0.0,0.3843,0.9537,0.1042,28355867894.87
