country,country_name,discount_rate,initial_investment,npv,irr,payback_period,scenario,revenue_factor,operating_margin,tax_rate
IDN,Indonesia,0.12,15000000000.0,-2085547738.39,6.59,4.25,Pessimistic,0.8,0.25,0.22
MYS,Malaysia,0.12,15000000000.0,-1848206271.23,7.23,4.19,Pessimistic,0.8,0.25,0.22
SGP,Singapore,0.12,15000000000.0,-857255859.62,9.82,3.95,Pessimistic,0.8,0.25,0.22
THA,Thailand,0.12,15000000000.0,-1987601500.48,6.81,4.22,Pessimistic,0.8,0.25,0.22
VNM,Vietnam,0.12,15000000000.0,-1603545586.7,7.89,4.13,Pessimistic,0.8,0.25,0.22
IDN,Indonesia,0.1,15000000000.0,5443813155.82,22.39,3.03,Base,1.0,0.3,0.22
MYS,Malaysia,0.1,15000000000.0,5820860454.2,23.18,2.99,Base,1.0,0.3,0.22
SGP,Singapore,0.1,15000000000.0,7389514835.99,26.46,2.8,Base,1.0,0.3,0.22
THA,Thailand,0.1,15000000000.0,5590508879.27,22.81,2.98,Base,1.0,0.3,0.22
VNM,Vietnam,0.1,15000000000.0,6211612120.09,23.96,2.95,Base,1.0,0.3,0.22
IDN,Indonesia,0.08,15000000000.0,15255453000.65,38.81,2.24,Optimistic,1.2,0.35,0.22
MYS,Malaysia,0.08,15000000000.0,15815463617.96,39.76,2.21,Optimistic,1.2,0.35,0.22
SGP,Singapore,0.08,15000000000.0,18136907893.1,43.86,2.08,Optimistic,1.2,0.35,0.22
THA,Thailand,0.08,15000000000.0,15459965176.95,39.48,2.2,Optimistic,1.2,0.35,0.22
VNM,Vietnam,0.08,15000000000.0,16398947540.39,40.67,2.19,Optimistic,1.2,0.35,0.22
