country,indicator,year,value,country_name,indicator_code,indicator_name,description,dimension,role,direction,unit,source,collection_date,aggregation,lookback_years,normalization,required,validation
IDN,BX.KLT.DINV.WD.GD.ZS,2025,1.7023251848050278,Indonesia,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
IDN,EG.ELC.ACCS.ZS,2024,99.9,Indonesia,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
IDN,FP.CPI.TOTL.ZG,2025,2.706755436936296,Indonesia,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
IDN,FS.AST.PRVT.GD.ZS,2025,36.2832983305564,Indonesia,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
IDN,GC.DOD.TOTL.GD.ZS,2009,29.997306381567,Indonesia,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
IDN,IC.BUS.NDNS.ZS,2024,0.943582664263138,Indonesia,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
IDN,IT.NET.BBND.P2,2024,4.92196685438436,Indonesia,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
IDN,IT.NET.USER.ZS,2024,72.78075544,Indonesia,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
IDN,NE.TRD.GNFS.ZS,2025,43.3912070511204,Indonesia,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
IDN,NY.GDP.MKTP.KD.ZG,2025,4.83991556974922,Indonesia,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}"
IDN,NY.GDP.PCAP.CD,2025,5059.62596411213,Indonesia,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
IDN,SL.UEM.TOTL.ZS,2025,3.4269999999999996,Indonesia,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}"
IDN,SP.POP.TOTL,2025,285721236.0,Indonesia,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
MYS,BX.KLT.DINV.WD.GD.ZS,2024,3.1953753178685522,Malaysia,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
MYS,EG.ELC.ACCS.ZS,2024,100.0,Malaysia,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
MYS,FP.CPI.TOTL.ZG,2025,2.311875113769442,Malaysia,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
MYS,FS.AST.PRVT.GD.ZS,2025,117.938077066737,Malaysia,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
MYS,GC.DOD.TOTL.GD.ZS,2024,64.566529006102,Malaysia,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
MYS,IC.BUS.NDNS.ZS,2024,2.37877480507523,Malaysia,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
MYS,IT.NET.BBND.P2,2024,13.5464432669708,Malaysia,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
MYS,IT.NET.USER.ZS,2024,98.0206059,Malaysia,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
MYS,NE.TRD.GNFS.ZS,2025,136.39642032295,Malaysia,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
MYS,NY.GDP.MKTP.KD.ZG,2025,5.23217612357857,Malaysia,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}"
MYS,NY.GDP.PCAP.CD,2025,13124.5554178269,Malaysia,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
MYS,SL.UEM.TOTL.ZS,2025,4.0076,Malaysia,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}"
MYS,SP.POP.TOTL,2025,35977838.0,Malaysia,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
SGP,BX.KLT.DINV.WD.GD.ZS,2025,26.96470887195992,Singapore,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
SGP,EG.ELC.ACCS.ZS,2024,100.0,Singapore,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
SGP,FP.CPI.TOTL.ZG,2025,3.314658141211921,Singapore,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
SGP,FS.AST.PRVT.GD.ZS,2020,128.43285830434,Singapore,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
SGP,GC.DOD.TOTL.GD.ZS,2024,167.799832036767,Singapore,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
SGP,IC.BUS.NDNS.ZS,2024,11.5926954126226,Singapore,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
SGP,IT.NET.BBND.P2,2024,27.813655026664,Singapore,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
SGP,IT.NET.USER.ZS,2024,94.37757178,Singapore,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
SGP,NE.TRD.GNFS.ZS,2025,320.306025413626,Singapore,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
