country,indicator,year,value,country_name,indicator_code,indicator_name,description,dimension,role,direction,unit,source,collection_date,aggregation,lookback_years,normalization,required,validation,normalized_score,dimension_weight
IDN,BX.KLT.DINV.WD.GD.ZS,2025,1.7023251848050278,Indonesia,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},0.0,0.1
MYS,BX.KLT.DINV.WD.GD.ZS,2024,3.1953753178685522,Malaysia,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},5.910171231476831,0.1
SGP,BX.KLT.DINV.WD.GD.ZS,2025,26.96470887195992,Singapore,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},100.0,0.1
THA,BX.KLT.DINV.WD.GD.ZS,2025,2.6794287060167883,Thailand,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},3.8678199702452702,0.1
VNM,BX.KLT.DINV.WD.GD.ZS,2024,4.332015366985236,Vietnam,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},10.409509311337555,0.1
IDN,EG.ELC.ACCS.ZS,2024,99.9,Indonesia,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",0.0,0.15
MYS,EG.ELC.ACCS.ZS,2024,100.0,Malaysia,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",100.0,0.15
SGP,EG.ELC.ACCS.ZS,2024,100.0,Singapore,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",100.0,0.15
THA,EG.ELC.ACCS.ZS,2024,100.0,Thailand,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",100.0,0.15
VNM,EG.ELC.ACCS.ZS,2024,100.0,Vietnam,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",100.0,0.15
IDN,FP.CPI.TOTL.ZG,2025,2.706755436936296,Indonesia,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},39.10570813732378,0.25
MYS,FP.CPI.TOTL.ZG,2025,2.311875113769442,Malaysia,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},64.5079222717975,0.25
SGP,FP.CPI.TOTL.ZG,2025,3.314658141211921,Singapore,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},0.0,0.25
THA,FP.CPI.TOTL.ZG,2025,1.760146707380033,Thailand,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},100.0,0.25
VNM,FP.CPI.TOTL.ZG,2025,3.0350403510936403,Vietnam,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True},17.987502956412456,0.25
IDN,FS.AST.PRVT.GD.ZS,2025,36.2832983305564,Indonesia,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.0,0.2
MYS,FS.AST.PRVT.GD.ZS,2025,117.938077066737,Malaysia,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},76.45553204752564,0.2
SGP,FS.AST.PRVT.GD.ZS,2020,128.43285830434,Singapore,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},86.28207368614497,0.2
