country,indicator,year,value
IDN,NY.GDP.MKTP.KD.ZG,2025,5.10808904438025
IDN,NY.GDP.MKTP.KD.ZG,2024,5.03257477088519
IDN,NY.GDP.MKTP.KD.ZG,2023,5.04883117855516
IDN,NY.GDP.MKTP.KD.ZG,2022,5.30719722664799
IDN,NY.GDP.MKTP.KD.ZG,2021,3.70288562827751
IDN,NY.GDP.MKTP.KD.ZG,2020,-2.06551182934165
IDN,NY.GDP.MKTP.KD.ZG,2019,5.01928768046282
IDN,NY.GDP.MKTP.KD.ZG,2018,5.17429153955024
IDN,NY.GDP.MKTP.KD.ZG,2017,5.06978590134916
IDN,NY.GDP.MKTP.KD.ZG,2016,5.03306918280177
IDN,NY.GDP.MKTP.KD.ZG,2015,4.87632230022123
IDN,NY.GDP.MKTP.KD.ZG,2014,5.006668425755
IDN,NY.GDP.MKTP.KD.ZG,2013,5.5572636889101
IDN,NY.GDP.MKTP.KD.ZG,2012,6.03005065305615
IDN,NY.GDP.MKTP.KD.ZG,2011,6.16978420771008
IDN,NY.GDP.MKTP.KD.ZG,2010,6.22385418062366
IDN,NY.GDP.MKTP.KD.ZG,2009,4.62887118256153
IDN,NY.GDP.MKTP.KD.ZG,2008,6.01370360009123
IDN,NY.GDP.MKTP.KD.ZG,2007,6.34502222667214
IDN,NY.GDP.MKTP.KD.ZG,2006,5.50095178520348
IDN,NY.GDP.MKTP.KD.ZG,2005,5.69257130383384
IDN,NY.GDP.MKTP.KD.ZG,2004,5.03087394501685
IDN,NY.GDP.MKTP.KD.ZG,2003,4.78036912167654
IDN,NY.GDP.MKTP.KD.ZG,2002,4.49947539085764
IDN,NY.GDP.MKTP.KD.ZG,2001,3.64346644721492
IDN,NY.GDP.MKTP.KD.ZG,2000,4.9200677470169
IDN,NY.GDP.MKTP.KD.ZG,1999,0.79112608199847
IDN,NY.GDP.MKTP.KD.ZG,1998,-13.1267254923818
IDN,NY.GDP.MKTP.KD.ZG,1997,4.69987885390397
IDN,NY.GDP.MKTP.KD.ZG,1996,7.81818707670867
IDN,NY.GDP.MKTP.KD.ZG,1995,8.22000739903493
IDN,NY.GDP.MKTP.KD.ZG,1994,7.53997109551439
IDN,NY.GDP.MKTP.KD.ZG,1993,6.49640812045304
IDN,NY.GDP.MKTP.KD.ZG,1992,6.49750651682714
IDN,NY.GDP.MKTP.KD.ZG,1991,6.91198283591309
IDN,NY.GDP.MKTP.KD.ZG,1990,7.24213163856464
IDN,NY.GDP.MKTP.KD.ZG,1989,7.45658692516847
IDN,NY.GDP.MKTP.KD.ZG,1988,5.7804984881177
IDN,NY.GDP.MKTP.KD.ZG,1987,4.92592736496611
IDN,NY.GDP.MKTP.KD.ZG,1986,5.87504510359864
IDN,NY.GDP.MKTP.KD.ZG,1985,2.46214356422551
IDN,NY.GDP.MKTP.KD.ZG,1984,6.97552780884124
IDN,NY.GDP.MKTP.KD.ZG,1983,4.1929673681999
IDN,NY.GDP.MKTP.KD.ZG,1982,2.24644534036375
IDN,NY.GDP.MKTP.KD.ZG,1981,7.92715682412874
IDN,NY.GDP.MKTP.KD.ZG,1980,9.88007752166418
IDN,NY.GDP.MKTP.KD.ZG,1979,7.32430948559606
IDN,NY.GDP.MKTP.KD.ZG,1978,6.76706985763171
IDN,NY.GDP.MKTP.KD.ZG,1977,8.76132560106353
IDN,NY.GDP.MKTP.KD.ZG,1976,6.88656497352524
IDN,NY.GDP.MKTP.KD.ZG,1975,4.97730086669512
IDN,NY.GDP.MKTP.KD.ZG,1974,7.6346729055067
IDN,NY.GDP.MKTP.KD.ZG,1973,8.1039755351653
IDN,NY.GDP.MKTP.KD.ZG,1972,7.03764320785962
IDN,NY.GDP.MKTP.KD.ZG,1971,7.02399719740848
IDN,NY.GDP.MKTP.KD.ZG,1970,7.55463451394223
IDN,NY.GDP.MKTP.KD.ZG,1969,6.82229824913614
IDN,NY.GDP.MKTP.KD.ZG,1968,10.9151785714295
IDN,NY.GDP.MKTP.KD.ZG,1967,1.38040280607036
IDN,NY.GDP.MKTP.KD.ZG,1966,2.79134682484525
IDN,NY.GDP.MKTP.KD.ZG,1965,1.08158946626055
IDN,NY.GDP.MKTP.KD.ZG,1964,3.52969814993797
IDN,NY.GDP.MKTP.KD.ZG,1963,-2.23702998571657
IDN,NY.GDP.MKTP.KD.ZG,1962,1.84197770236842
IDN,NY.GDP.MKTP.KD.ZG,1961,5.74064582266813
IDN,NY.GDP.PCAP.CD,2025,5059.62596411213
IDN,NY.GDP.PCAP.CD,2024,4925.43644992666
IDN,NY.GDP.PCAP.CD,2023,4876.2992959843
IDN,NY.GDP.PCAP.CD,2022,4730.83484836107
IDN,NY.GDP.PCAP.CD,2021,4287.17313995098
IDN,NY.GDP.PCAP.CD,2020,3853.70288774146
IDN,NY.GDP.PCAP.CD,2019,4106.94856160358
IDN,NY.GDP.PCAP.CD,2018,3860.95353090726
IDN,NY.GDP.PCAP.CD,2017,3798.88326174526
IDN,NY.GDP.PCAP.CD,2016,3521.46943457574
IDN,NY.GDP.PCAP.CD,2015,3288.22269725538
IDN,NY.GDP.PCAP.CD,2014,3441.06808464008
IDN,NY.GDP.PCAP.CD,2013,3566.60284506078
IDN,NY.GDP.PCAP.CD,2012,3632.27254030331
IDN,NY.GDP.PCAP.CD,2011,3579.46442466152
IDN,NY.GDP.PCAP.CD,2010,3065.68348377765
IDN,NY.GDP.PCAP.CD,2009,2218.48541852977
IDN,NY.GDP.PCAP.CD,2008,2124.55483920618
IDN,NY.GDP.PCAP.CD,2007,1823.21976255073
IDN,NY.GDP.PCAP.CD,2006,1558.31562847163
IDN,NY.GDP.PCAP.CD,2005,1238.21447629488
IDN,NY.GDP.PCAP.CD,2004,1126.84004447173
IDN,NY.GDP.PCAP.CD,2003,1043.2105838671
IDN,NY.GDP.PCAP.CD,2002,881.002913569131
IDN,NY.GDP.PCAP.CD,2001,732.307093405708
IDN,NY.GDP.PCAP.CD,2000,763.711124950924
IDN,NY.GDP.PCAP.CD,1999,657.268934667018
IDN,NY.GDP.PCAP.CD,1998,454.877800792123
IDN,NY.GDP.PCAP.CD,1997,1044.60674832472
IDN,NY.GDP.PCAP.CD,1996,1118.92133024129
IDN,NY.GDP.PCAP.CD,1995,1011.22614205568
IDN,NY.GDP.PCAP.CD,1994,899.793982949817
IDN,NY.GDP.PCAP.CD,1993,817.395116417856
IDN,NY.GDP.PCAP.CD,1992,673.67103954742
IDN,NY.GDP.PCAP.CD,1991,624.387495384411
IDN,NY.GDP.PCAP.CD,1990,578.420121135382
